"chromosome_name"	"start_position"	"end_position"	"ensembl_gene_id"
"123"	3	8587664	8589713	"AT3G23810"
"124"	3	8648674	8652605	"AT3G23940"
"125"	3	9287178	9289338	"AT3G25570"
"126"	3	9339423	9342204	"AT3G25660"
"127"	3	9480825	9482926	"AT3G25900"
"128"	3	10281261	10283866	"AT3G27740"
"129"	3	11164393	11166416	"AT3G29200"
"130"	3	14720735	14720872	"AT3G42628"
"131"	3	16271652	16273344	"AT3G44720"
"132"	3	17437884	17441243	"AT3G47340"
"133"	3	17483068	17486347	"AT3G47450"
"134"	3	18001312	18003581	"AT3G48560"
"135"	3	18422649	18425693	"AT3G49680"
"136"	3	18434470	18436141	"AT3G49700"
"137"	3	19706894	19711439	"AT3G53180"
"138"	3	19864757	19867134	"AT3G53580"
"139"	3	20223148	20225523	"AT3G54640"
"140"	3	20624020	20629093	"AT3G55610"
"141"	3	20730858	20733903	"AT3G55870"
"142"	3	21111700	21114662	"AT3G57050"
"143"	3	21163545	21166138	"AT3G57180"
"144"	3	21310825	21312312	"AT3G57560"
"145"	3	21671433	21675090	"AT3G58610"
"146"	3	21720773	21723790	"AT3G58740"
"147"	3	21724314	21727690	"AT3G58750"
"148"	3	21797058	21798303	"AT3G58990"
"149"	3	22071948	22075416	"AT3G59760"
"150"	3	22124198	22126630	"AT3G59890"
"151"	3	22192730	22196447	"AT3G60100"
"152"	3	22494852	22496697	"AT3G60880"
"153"	3	22735663	22738126	"AT3G61440"
"154"	3	22763495	22765730	"AT3G61510"
"155"	3	23370308	23372682	"AT3G63250"
"156"	4	796097	798286	"AT4G01850"
"157"	4	1147634	1149336	"AT4G02610"
"158"	4	2741160	2742949	"AT4G05400"
"159"	4	4887112	4888939	"AT4G08040"
"160"	4	5646439	5648727	"AT4G08870"
"161"	4	5703347	5705346	"AT4G08900"
"162"	4	6564279	6566504	"AT4G10620"
"163"	4	6864097	6866116	"AT4G11280"
"164"	4	7021770	7023318	"AT4G11640"
"165"	4	7803933	7807871	"AT4G13430"
"166"	4	8031972	8033723	"AT4G13890"
"167"	4	8047692	8050106	"AT4G13930"
"168"	4	8054861	8057181	"AT4G13940"
"169"	4	8424667	8426558	"AT4G14710"
"170"	4	8430207	8431945	"AT4G14716"
"171"	4	8517960	8520521	"AT4G14880"
"172"	4	8528167	8530334	"AT4G14910"
"173"	4	8864828	8870967	"AT4G15530"
"174"	4	9915813	9918243	"AT4G17830"
"175"	4	10724855	10729768	"AT4G19710"
"176"	4	12307126	12309647	"AT4G23590"
"177"	4	12607447	12609252	"AT4G24340"
"178"	4	12792873	12795974	"AT4G24830"
"179"	4	13275307	13277188	"AT4G26200"
"180"	4	13515478	13519855	"AT4G26900"
"181"	4	13542918	13548629	"AT4G26970"
"182"	4	13586340	13588821	"AT4G27070"
"183"	4	14274341	14277095	"AT4G28940"
"184"	4	14599216	14601055	"AT4G29840"
"185"	4	15470751	15473856	"AT4G31990"
"186"	4	15689464	15692857	"AT4G32520"
"187"	4	15885520	15886980	"AT4G32915"
"188"	4	16171694	16174686	"AT4G33680"
"189"	4	16373819	16376622	"AT4G34200"
"190"	4	16606274	16608024	"AT4G34840"
"191"	4	16615549	16617424	"AT4G34880"
"192"	4	16774195	16776325	"AT4G35260"
"193"	4	16795333	16796223	"AT4G35295"
"194"	4	16904059	16905722	"AT4G35630"
"195"	4	16905579	16908357	"AT4G35640"
"196"	4	16908519	16910190	"AT4G35650"
"197"	4	16972598	16978057	"AT4G35830"
"198"	4	17696059	17698843	"AT4G37670"
"199"	4	17752084	17754157	"AT4G37770"
"200"	4	17831731	17834927	"AT4G37930"
"201"	4	18113161	18115133	"AT4G38800"
"202"	4	18220589	18227988	"AT4G39120"
"203"	4	18406765	18409564	"AT4G39660"
"204"	5	793974	796182	"AT5G03290"
"205"	5	1129852	1138442	"AT5G04140"
"206"	5	1325588	1326928	"AT5G04610"
"207"	5	1666471	1668352	"AT5G05590"
"208"	5	1719557	1722910	"AT5G05730"
"209"	5	2326704	2330142	"AT5G07360"
"210"	5	2355937	2358194	"AT5G07440"
"211"	5	3212688	3216466	"AT5G10240"
"212"	5	3247847	3250138	"AT5G10330"
"213"	5	3430546	3432462	"AT5G10870"
"214"	5	3441752	3444142	"AT5G10920"
"215"	5	3685089	3687764	"AT5G11520"
"216"	5	3827526	3829986	"AT5G11880"
"217"	5	3941528	3944811	"AT5G12200"
"218"	5	4249438	4252836	"AT5G13280"
"219"	5	4535401	4539193	"AT5G14060"
"220"	5	4576202	4578402	"AT5G14200"
"221"	5	4703298	4706738	"AT5G14590"
"222"	5	4785960	4787839	"AT5G14800"
"223"	5	5205869	5208036	"AT5G15950"
"224"	5	5333764	5337745	"AT5G16290"
"225"	5	5421743	5424566	"AT5G16570"
"226"	5	5935038	5939487	"AT5G17920"
"227"	5	5957213	5959905	"AT5G17990"
"228"	5	6006039	6008472	"AT5G18170"
"229"	5	6311725	6313323	"AT5G18930"
"230"	5	6598017	6601819	"AT5G19550"
"231"	5	7122800	7128359	"AT5G20980"
"232"	5	7148978	7152876	"AT5G21060"
"233"	5	7379199	7381935	"AT5G22300"
"234"	5	7524342	7526160	"AT5G22630"
"235"	5	7703092	7706896	"AT5G23010"
"236"	5	7718121	7721839	"AT5G23020"
"237"	5	9418195	9422156	"AT5G26780"
"238"	5	9676334	9682940	"AT5G27410"
"239"	5	10026183	10028580	"AT5G28020"
"240"	5	10030406	10032451	"AT5G28030"
"241"	5	10207353	10213598	"AT5G28237"
"242"	5	13233374	13235567	"AT5G34930"
"243"	5	13830429	13833542	"AT5G35630"
"244"	5	14933336	14935841	"AT5G37600"
"245"	5	15424038	15426470	"AT5G38530"
"246"	5	17627182	17629159	"AT5G43850"
"247"	5	18718475	18721375	"AT5G46180"
"248"	5	19549676	19552267	"AT5G48220"
"249"	5	20239343	20246380	"AT5G49810"
"250"	5	20997413	21001046	"AT5G51690"
"251"	5	21170145	21172346	"AT5G52100"
"252"	5	21298857	21300239	"AT5G52490"
"253"	5	21534473	21537816	"AT5G53120"
"254"	5	21700202	21710066	"AT5G53460"
"255"	5	21860997	21864973	"AT5G53850"
"256"	5	21910533	21912777	"AT5G53970"
"257"	5	22264594	22266785	"AT5G54810"
"258"	5	22309832	22310242	"AT5G54950"
"259"	5	22961309	22962660	"AT5G56760"
"260"	5	23447407	23449679	"AT5G57890"
"261"	5	25099003	25103298	"AT5G62530"
"262"	5	25565431	25568206	"AT5G63890"
"263"	5	25739178	25741212	"AT5G64370"
"264"	5	25969189	25972575	"AT5G65010"
"265"	5	26311311	26318812	"AT5G65780"
"266"	5	26330746	26332812	"AT5G65800"
"267"	5	26910315	26912103	"AT5G67430"
